@relation cloudstack

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
105,29,763,8,6,371,325,1
2,46,1257,7,6,246,224,0
14,1,801,4,2,416,374,1
20,0,680,11,4,362,277,0
14,0,790,2,0,420,384,0
46,9,1259,13,6,273,251,1
13,19,844,49,21,318,270,0
103,0,798,2,1,461,422,0
58,62,750,13,12,374,319,0
12,0,785,6,3,445,404,0
16,11,1326,2,1,22,20,0
18,61,794,18,16,457,415,0
35,0,766,33,30,449,413,1
31,63,974,28,26,425,399,1
8,102,933,99,92,378,350,0
56,231,711,24,19,427,302,1
92,6,681,14,12,423,307,1
7,0,862,31,31,451,419,1
9,17,742,24,27,410,315,1
12,0,753,4,1,445,397,1
138,220,680,15,14,421,315,1
19,15,670,21,23,383,288,0
32,0,1200,10,10,161,150,0
55,0,671,21,15,385,279,1
127,0,653,2,0,370,249,0
341,0,943,1,0,438,403,1
70,8,1264,9,5,268,251,1
62,86,676,24,22,426,308,0
34,0,1203,36,35,214,193,0
40,9,1268,11,6,270,253,1
4,11,1169,23,11,288,256,0
29,86,614,18,16,345,241,1
60,9,801,11,8,462,418,0
25,0,986,1,0,45,36,1
8,0,973,29,25,418,394,1
18,7,937,5,4,387,363,0
23,0,1135,22,17,289,262,0
36,0,710,5,2,421,299,1
27,0,612,3,1,352,234,1
92,4,764,8,6,371,322,1
82,20,637,10,9,354,255,1
108,73,618,21,14,374,255,0
92,7,703,15,13,422,299,1
31,18,939,3,0,428,398,0
109,102,267,32,24,161,74,1
79,0,929,8,7,439,403,1
28,0,620,24,17,375,256,1
88,24,693,27,19,430,316,1
6,62,970,25,22,420,394,0
31,0,642,6,2,399,282,1
41,0,1208,2,1,115,108,1
50,0,635,7,2,375,255,1
21,42,1062,1,0,39,31,1
32,17,780,5,4,439,398,0
256,0,617,2,0,350,239,1
23,0,693,2,0,421,300,1
29,0,1164,7,1,148,130,1
43,29,609,20,17,387,255,1
272,3,760,4,3,445,396,1
36,0,1149,3,1,136,125,1
18,0,1251,17,14,276,252,0
7,0,1088,1,0,81,75,0
126,1,791,1,0,432,397,1
28,156,631,7,7,391,269,0
10,19,844,67,21,336,270,0
144,221,1259,12,11,274,251,0
34,19,930,7,1,430,396,1
12,55,808,13,10,423,375,1
11,102,930,96,92,375,349,0
57,0,322,1,0,191,101,1
26,162,974,12,10,426,399,1
152,87,681,27,26,420,309,1
18,267,737,29,28,416,310,0
37,6,795,11,10,435,397,0
41,7,660,12,10,387,267,1
88,11,668,24,22,380,288,1
38,0,745,4,3,449,413,1
6,0,1146,13,12,286,259,0
194,0,800,1,0,461,418,1
3,3,1162,4,3,139,129,1
54,0,830,1,1,56,49,1
63,30,662,18,9,383,268,1
17,51,915,16,13,371,337,1
41,0,1162,6,3,127,118,1
17,0,760,1,0,437,386,0
8,0,1150,3,1,133,120,0
20,45,1209,2,1,123,114,0
54,61,665,18,17,385,268,0
24,0,1365,1,0,38,34,1
57,0,890,2,1,46,36,1
99,21,937,9,3,434,401,1
55,0,942,3,1,434,403,1
43,7,332,2,0,191,105,1
22,0,1135,21,17,288,262,1
25,81,810,15,14,445,412,0
108,0,753,13,11,438,388,1
194,28,694,23,19,359,284,1
28,32,639,24,15,386,267,0
17,19,844,80,21,348,269,0
138,63,734,15,13,366,303,1
175,6,682,14,11,425,314,1
57,29,683,24,21,362,279,0
100,7,829,3,2,65,57,0
84,0,876,7,5,448,416,1
21,0,930,5,3,436,403,0
25,0,255,6,6,140,72,1
13,33,693,29,28,419,300,0
15,19,844,55,21,324,270,0
5,46,1259,9,8,272,251,0
45,130,873,16,15,438,403,1
19,0,763,10,8,368,322,0
23,22,1349,9,7,35,27,0
7,0,870,1,0,29,25,1
85,19,849,5,4,443,418,1
172,166,645,8,7,402,281,0
61,0,762,12,10,447,404,1
142,0,1197,1,0,199,183,0
54,9,1085,5,4,69,64,1
42,153,971,116,113,421,395,1
28,0,1143,18,17,286,259,0
15,0,1251,52,51,278,253,0
170,6,699,14,13,414,300,1
162,0,1259,20,19,276,251,0
44,21,790,7,5,424,389,0
21,1,695,7,4,365,272,1
23,0,1119,2,1,50,40,0
35,57,627,21,15,386,266,1
40,0,335,2,1,212,113,1
20,0,1164,6,1,147,130,1
28,0,875,4,2,443,413,0
29,0,681,4,4,419,306,1
142,0,697,5,4,422,310,0
15,0,674,19,14,378,262,1
17,0,1199,2,1,109,101,1
11,34,1078,5,4,73,67,0
11,12,764,15,12,448,405,0
75,7,846,4,3,452,422,1
42,0,647,7,7,365,263,1
9,0,826,1,0,419,374,1
14,45,750,15,13,444,397,1
47,49,643,21,18,366,246,0
27,18,647,11,9,383,264,1
11,0,251,4,1,163,75,1
10,0,1208,19,18,117,109,0
47,81,681,23,22,421,306,0
71,1,234,3,1,157,64,1
39,40,710,31,29,401,304,1
12,15,726,23,17,413,305,1
101,63,696,16,13,362,292,1
34,0,1260,1,0,261,245,0
35,32,653,10,8,370,250,1
84,23,269,15,11,163,73,1
7,2,798,1,0,462,420,0
49,0,664,21,15,383,273,1
40,0,666,9,6,356,264,1
38,0,700,6,4,436,320,0
48,0,661,5,4,382,271,0
45,6,650,5,5,367,251,1
3,3,1169,5,4,152,132,0
12,19,844,88,21,356,269,0
11,6,1056,2,1,26,19,0
16,85,876,41,37,449,420,1
32,217,696,14,13,432,318,0
74,0,647,3,2,384,267,1
48,0,637,15,10,365,243,1
44,0,980,4,3,46,36,1
75,0,1164,1,1,141,130,1
104,0,751,3,1,443,399,1
25,0,796,7,6,435,400,1
76,0,1180,16,14,107,99,1
4,0,2005,1,0,3,1,0
17,0,277,2,0,160,68,1
90,11,664,25,22,384,288,1
85,80,680,22,21,415,306,0
24,85,873,40,37,445,418,1
9,1,443,1,0,267,168,1
14,0,847,2,1,71,65,0
107,1,1170,1,0,286,264,1
31,0,680,4,0,419,306,0
12,0,1451,1,0,40,36,0
12,19,844,85,21,353,269,1
7,0,1145,3,2,287,260,1
68,0,813,5,3,443,415,0
43,0,700,14,7,427,312,1
19,19,844,53,21,322,270,0
23,49,696,27,27,393,302,1
26,1,1123,1,0,51,40,0
31,0,230,1,0,157,63,0
30,33,764,10,7,369,322,1
94,0,222,1,0,151,66,0
47,9,1268,10,6,269,253,1
88,70,733,34,30,413,307,1
28,0,389,2,0,235,138,0
18,43,653,31,23,411,285,0
68,0,265,4,4,150,70,1
90,5,1209,8,7,124,114,0
7,0,803,8,7,423,385,1
14,0,683,7,5,365,282,1
8,0,1206,2,1,114,107,0
8,0,870,2,0,30,25,1
18,2,1066,3,1,21,14,0
32,0,709,29,25,399,304,1
44,0,668,4,3,422,307,1
14,78,1261,2,1,273,252,0
39,268,693,33,32,390,300,1
13,18,1333,8,6,34,26,0
25,130,1199,1,0,204,186,0
200,1,787,1,0,459,422,1
15,0,749,2,0,372,319,1
92,6,699,16,11,421,311,1
22,1,683,7,7,416,308,1
4,0,1173,1,0,156,137,1
77,0,710,4,2,420,299,1
69,36,730,29,28,413,306,0
8,102,932,101,92,380,350,0
52,0,1204,2,1,215,194,0
35,102,266,23,20,152,70,0
127,240,1204,4,4,163,152,1
11,12,619,20,7,374,255,1
13,21,277,15,10,164,78,1
12,19,844,89,21,357,269,1
80,24,695,28,19,431,318,1
32,0,1233,13,9,226,207,1
25,8,648,7,6,360,265,1
37,0,680,30,25,417,306,1
6,60,960,20,20,408,382,0
123,0,789,4,1,421,385,1
47,0,1265,47,46,261,245,0
227,0,1156,13,12,88,82,1
29,3,1043,2,1,41,32,0
45,6,835,3,2,59,52,0
80,0,1262,10,9,255,234,0
12,12,1435,3,1,45,38,1
48,9,1259,14,6,275,251,1
35,0,629,3,1,387,267,1
61,0,1164,24,23,150,130,0
110,10,690,9,8,424,309,1
20,0,786,9,8,423,390,1
16,19,844,54,21,323,270,0
183,0,1180,1,0,181,170,1
116,55,770,21,17,441,401,1
27,33,670,13,9,386,279,1
15,16,1211,9,9,118,110,1
18,0,671,11,0,424,308,1
29,0,1123,1,0,50,40,1
21,129,746,46,44,447,412,1
28,0,934,1,0,384,361,0
11,68,874,35,31,439,403,0
24,0,623,4,3,360,240,1
10,2,940,3,1,43,33,0
33,0,868,30,31,448,415,1
26,14,890,7,4,47,37,1
150,3,1173,4,3,95,90,0
188,148,939,14,13,444,410,0
15,0,1265,12,11,261,243,0
33,30,699,27,27,423,312,1
12,0,1172,4,3,155,136,0
10,1,802,5,3,445,412,1
6,7,1205,6,6,111,101,0
119,30,619,20,17,385,258,1
26,16,1210,10,9,126,117,1
74,256,667,38,37,377,279,1
153,0,697,6,5,423,311,1
8,101,798,46,42,444,411,1
15,0,806,4,2,446,413,1
77,150,971,114,111,415,392,0
52,268,710,29,29,399,304,0
147,0,641,12,7,367,268,0
37,14,1164,9,8,128,118,1
85,268,693,34,32,391,300,1
280,1,434,2,0,266,166,1
14,0,691,1,0,363,273,1
11,19,844,62,21,331,270,0
6,87,879,42,37,448,417,1
84,0,1372,3,1,47,39,1
64,110,660,22,22,362,265,1
11,32,664,14,8,387,269,1
17,42,1200,5,4,162,150,0
42,0,616,8,6,348,240,1
51,176,1432,5,3,40,35,1
15,0,605,1,0,383,255,0
31,10,671,16,15,390,276,1
18,42,1210,8,5,167,153,0
8,7,710,9,7,391,302,1
15,230,1200,6,5,198,182,0
24,0,759,1,0,455,415,1
17,3,833,5,4,67,58,0
40,48,664,27,23,383,288,0
34,0,696,1,0,422,302,1
7,49,661,12,11,378,260,1
11,6,639,15,9,375,257,0
9,0,698,9,6,414,303,1
4,22,1182,14,13,179,168,0
78,0,1161,1,0,102,95,0
12,141,767,39,40,371,323,1
9,67,951,22,19,397,371,0
98,227,699,22,19,412,300,1
77,13,619,7,5,357,237,1
34,0,335,1,0,201,110,0
32,0,1124,12,11,86,81,0
208,38,708,28,27,395,300,1
67,70,733,35,30,414,307,1
32,0,681,3,0,421,305,1
17,273,709,31,29,395,297,0
34,0,750,2,3,452,413,1
87,0,1268,1,0,271,253,1
96,0,846,5,2,72,65,0
24,14,699,10,8,431,319,1
64,0,790,15,14,421,385,0
42,29,650,27,22,361,267,1
15,0,736,13,8,415,309,1
15,7,803,3,1,443,412,0
5,4,846,2,1,51,46,0
58,19,1128,32,21,301,270,1
57,0,1188,27,26,176,165,0
49,0,613,1,0,352,236,1
63,0,826,1,0,425,381,1
52,0,653,18,14,371,249,1
71,231,698,18,16,417,310,0
91,0,862,8,6,453,421,0
6,135,964,108,101,397,370,0
30,0,972,52,52,422,395,1
20,0,764,3,3,449,405,1
3,34,1078,6,5,74,68,0
15,0,899,54,53,359,326,1
36,0,1353,9,6,36,31,0
9,3,770,3,2,450,409,0
42,0,700,12,7,424,312,1
61,18,939,2,0,427,398,1
33,72,933,32,30,442,409,1
879,0,1157,8,7,87,82,1
74,18,702,12,9,419,305,1
47,30,284,22,19,143,84,0
49,19,844,45,21,314,270,0
37,0,637,2,2,394,277,1
7,102,933,100,92,379,350,0
107,55,770,20,17,440,401,1
69,0,962,5,2,408,382,0
137,245,1207,5,4,169,155,1
7,0,1513,3,1,27,18,1
38,0,698,9,7,419,311,1
36,0,1261,42,41,241,222,0
97,166,1393,4,2,40,34,0
25,232,707,25,19,427,300,1
48,11,875,1,0,436,403,1
71,72,933,33,30,443,409,1
14,10,873,2,0,437,403,1
10,19,844,69,21,338,270,0
535,0,1265,18,16,259,239,0
311,28,665,26,21,387,276,1
24,22,251,21,15,158,71,1
16,0,838,1,0,61,56,1
102,0,724,3,2,409,310,1
66,0,792,3,2,434,397,1
182,0,1125,53,52,292,265,0
12,0,933,25,21,381,351,1
41,67,638,12,12,363,245,1
12,0,680,3,0,414,306,1
88,0,1055,1,0,25,18,0
106,0,607,3,0,384,254,1
24,0,861,1,0,452,418,1
24,12,1435,2,1,44,38,0
21,19,844,90,21,358,269,0
22,8,629,13,11,388,267,0
51,0,606,7,5,383,255,1
28,0,733,12,8,415,308,1
43,0,711,2,1,369,302,1
25,0,1194,29,28,178,167,0
54,1,231,1,0,142,59,1
8,135,964,107,101,396,370,0
84,0,777,5,3,445,414,1
31,0,230,2,0,158,63,1
40,71,644,22,15,371,246,1
410,0,794,16,15,423,385,1
33,19,1128,35,21,304,270,1
69,0,790,2,1,442,402,1
9,45,931,4,2,45,36,0
246,0,802,17,16,446,412,1
18,46,1169,4,2,153,133,0
40,57,690,34,29,435,316,0
28,0,1207,37,36,218,198,0
190,0,680,11,3,416,306,1
4,19,1383,8,7,38,33,0
14,0,1210,4,2,116,109,1
40,0,1174,22,21,288,266,0
70,0,692,8,5,363,284,1
87,17,610,6,4,347,232,0
160,12,713,22,16,425,298,1
8,4,685,5,3,412,308,1
43,32,651,23,19,408,285,1
236,98,271,34,22,167,72,1
26,12,1167,1,0,24,20,1
25,2,1155,2,1,138,128,0
166,0,799,1,2,424,384,1
77,6,634,13,9,373,255,0
61,0,700,11,6,393,303,0
29,24,675,13,10,425,307,1
26,0,755,7,6,454,413,1
14,83,903,93,78,363,327,0
56,0,1122,3,1,291,262,0
25,0,977,28,23,400,379,1
154,1,708,1,0,427,301,1
18,19,844,79,21,347,269,1
2,0,2006,2,1,4,2,0
11,0,1059,1,0,42,32,0
78,0,633,1,0,351,256,1
341,26,648,23,20,385,264,1
43,0,688,15,7,421,308,1
3,39,624,28,19,391,262,0
25,85,873,39,37,444,418,1
17,48,1238,12,11,281,262,1
7,135,964,112,101,401,370,0
42,0,760,1,0,445,395,0
10,19,844,68,21,337,270,0
23,13,680,6,6,364,277,1
91,225,702,19,17,416,304,1
52,50,652,24,20,368,250,1
81,0,969,22,21,401,378,0
44,28,642,23,10,383,263,1
9,0,668,1,0,380,263,0
42,0,635,3,0,364,242,1
32,6,795,12,10,436,397,0
59,19,844,47,21,316,270,0
1,0,1211,1,0,8,0,1
102,141,647,7,7,385,267,1
46,50,652,25,20,369,250,1
788,0,1240,15,14,234,211,0
74,0,1150,4,2,135,124,0
282,79,619,11,10,359,237,1
28,6,652,14,12,368,250,1
23,83,903,92,78,362,327,0
86,102,266,28,23,157,73,1
12,44,1208,1,0,122,113,0
44,0,939,5,4,40,31,0
54,79,680,21,21,411,307,0
131,0,1229,21,20,280,262,0
7,19,844,73,21,341,269,0
18,0,845,3,1,73,65,1
33,0,1164,1,0,285,263,1
6,19,844,42,21,311,270,0
32,11,1169,18,11,285,258,0
22,0,1154,52,53,284,260,0
111,0,799,3,1,462,422,1
43,0,1277,3,0,25,19,1
7,0,1513,2,0,26,17,0
8,42,650,23,20,383,262,0
14,48,785,10,9,423,389,0
11,2,1210,2,1,120,111,1
19,20,1209,13,13,171,157,1
29,45,760,16,13,443,393,1
243,0,937,26,26,432,399,1
4,62,970,21,21,410,388,0
25,0,699,12,4,430,319,0
28,19,1128,34,21,303,270,1
50,0,696,7,3,423,302,1
53,0,1212,14,13,222,200,0
43,32,651,24,19,409,285,0
27,0,681,9,0,412,307,1
198,10,672,7,6,416,293,1
64,2,278,3,3,165,76,1
66,0,969,24,23,416,392,0
8,42,650,24,20,384,262,0
10,0,1209,5,2,120,111,0
21,0,790,4,1,423,385,1
86,0,639,2,0,387,267,1
49,23,678,23,19,431,310,1
94,71,674,20,20,417,296,1
718,0,789,15,14,434,396,1
13,42,1210,7,5,166,153,0
36,51,661,24,21,379,271,0
73,8,704,17,15,424,301,1
20,22,1353,8,7,37,31,0
113,0,773,7,3,446,413,1
63,0,654,12,4,412,286,0
4,75,869,37,34,445,414,0
400,0,281,1,0,175,88,1
46,37,648,21,23,384,262,1
43,0,1146,53,53,285,260,0
186,0,624,13,5,346,243,1
23,38,1195,9,8,210,189,0
24,242,641,39,37,367,269,1
26,44,692,13,11,364,273,1
153,0,1236,54,54,283,262,1
13,0,613,3,2,389,258,1
10,19,844,63,21,332,270,0
14,0,687,1,0,432,315,1
16,5,934,3,2,385,361,0
397,0,1085,6,5,70,64,0
5,0,631,2,1,390,273,0
35,0,802,33,33,443,414,1
42,27,654,24,20,376,265,0
48,0,793,5,1,422,385,1
27,148,939,15,13,445,410,1
106,131,611,9,8,375,255,0
46,0,1214,13,12,196,178,0
14,19,906,40,21,309,270,0
250,269,694,35,32,392,299,1
93,58,1387,1,0,39,34,1
89,0,874,10,8,439,402,0
49,0,683,29,24,411,306,0
42,13,796,5,3,434,395,0
36,130,1204,2,0,207,186,0
41,221,683,16,14,415,308,0
40,0,781,7,4,440,398,0
90,0,1186,31,30,183,171,0
45,0,1187,10,8,185,172,1
26,0,633,1,0,352,256,1
47,134,612,9,8,373,252,0
1014,0,1125,7,6,71,66,0
37,0,801,9,10,462,418,1
15,0,1060,1,0,44,36,1
184,0,1180,15,14,106,99,1
35,154,935,13,12,439,406,1
18,0,1260,4,3,243,223,1
14,0,903,1,0,35,30,1
27,68,776,16,14,445,413,1
142,18,612,8,6,350,234,1
148,101,265,22,20,151,70,0
237,98,271,33,22,166,72,1
33,0,614,2,1,344,241,1
23,101,266,30,24,159,74,1
211,0,1201,17,14,110,101,0
75,0,619,3,1,358,237,1
377,0,970,26,25,418,394,1
88,5,1172,5,4,103,97,1
9,2,801,7,6,461,422,1
21,1,1162,1,0,91,83,0
31,0,668,5,4,389,276,1
70,48,664,28,23,385,288,1
10,67,951,20,19,395,371,0
174,8,749,3,2,449,416,1
140,66,608,23,14,345,241,1
15,7,803,4,1,444,412,0
54,211,554,38,35,326,222,1
17,64,936,30,27,427,400,1
8,5,270,7,5,160,74,1
78,7,669,12,10,423,307,1
23,0,1208,2,0,219,199,1
14,7,803,2,1,442,412,0
37,0,786,15,13,441,400,1
32,0,1254,40,39,239,218,0
46,84,884,38,37,446,421,1
84,0,1100,3,3,82,77,0
24,0,642,1,0,364,249,1
73,1,767,6,3,371,322,1
42,6,635,14,9,374,255,1
38,138,747,38,39,371,319,1
75,0,615,2,0,353,236,1
44,0,836,2,1,70,61,0
93,0,1205,18,16,115,105,0
29,40,613,11,10,355,234,1
42,0,940,4,2,435,403,0
52,63,619,20,18,374,255,1
18,11,1169,20,11,287,258,0
32,68,935,31,28,440,406,1
46,27,802,8,7,462,422,1
50,17,1216,12,11,222,200,1
11,54,806,12,10,422,375,0
143,0,401,1,0,243,148,1
104,0,1451,2,1,46,39,1
7,4,1241,10,9,234,212,1
13,0,1202,5,4,185,172,0
43,10,235,4,3,158,64,0
56,9,770,4,3,440,402,0
12,13,789,6,5,435,395,0
10,6,927,13,12,440,405,1
14,9,634,7,5,376,257,0
6,1,651,7,4,385,262,1
5,1,767,4,2,438,399,0
8,33,612,13,11,358,253,1
7,4,1241,9,8,233,211,0
60,3,624,2,1,345,244,0
18,26,685,15,9,429,310,1
3,62,971,23,22,413,392,1
65,0,644,1,0,400,281,1
31,1,1212,6,5,193,177,1
11,6,930,12,11,437,403,0
13,6,668,3,2,383,278,1
21,28,907,12,11,367,334,0
35,28,620,20,19,387,262,1
18,26,685,14,8,428,309,0
4,1,1212,7,5,194,177,1
15,1,1213,8,5,195,178,1
15,5,906,2,1,365,332,0
6,5,908,11,10,370,335,0
32,5,1464,5,4,18,9,1
16,0,1210,3,2,121,112,0
5,0,1210,1,0,7,0,1
3,43,841,1,0,57,47,0
5,0,821,1,0,56,48,1
14,11,636,9,5,376,255,0
30,4,793,2,0,460,418,1
29,11,1083,9,7,38,31,0
6,2,669,2,1,384,278,0
8,24,1009,4,2,22,15,0
7,0,842,2,0,58,51,0
64,4,1183,3,2,32,25,0
37,1,468,2,0,287,189,1
15,0,1009,1,0,18,12,1
16,152,1052,2,1,22,15,0
33,6,1085,4,3,33,27,0
4,25,684,12,8,426,309,1
8,2,845,3,2,50,44,0
15,1,1450,4,3,17,8,0
13,1,661,1,0,377,271,0
5,3,1017,2,0,23,15,0
13,0,849,2,0,48,40,0
14,24,242,22,16,158,69,1
10,0,1214,2,1,29,22,1
12,0,1458,1,0,43,37,1
159,0,1443,1,0,14,5,0
77,2,1189,2,1,30,23,0
6,25,1011,5,3,18,12,0
15,22,238,17,12,157,63,1
11,8,1472,8,7,27,18,0
7,23,1048,6,4,24,17,0
19,0,1458,2,0,44,37,1
96,1,1448,2,1,15,6,1
113,1,1446,3,2,16,7,0
11,7,839,4,2,68,59,0
8,7,1466,1,0,19,9,0
63,0,1233,1,0,35,23,1
17,24,1009,3,2,21,15,1
6,0,1235,1,0,4,0,1
10,0,678,1,0,415,304,1
6,5,686,3,2,416,299,1
34,1,638,1,0,367,251,1
4,26,685,13,8,427,309,1
6,0,865,1,0,28,24,0
14,0,713,1,0,427,298,0
4,1,827,2,0,55,46,0
6,0,1456,1,0,14,4,1
40,0,666,1,0,358,266,1
18,0,1410,1,0,39,33,0
106,10,1090,7,6,36,30,0
24,13,1080,10,9,40,33,0
3,0,1386,1,0,36,28,0
24,0,847,1,0,48,41,0
25,1,1235,3,1,230,207,0
19,0,1364,1,0,39,34,0
27,0,714,1,0,427,297,1
29,1,1197,2,1,212,191,1
76,0,655,1,0,361,264,0
173,7,1313,1,0,47,38,1
34,1,682,1,0,421,309,1
75,4,804,4,3,445,412,1
44,0,1184,1,0,182,170,0
42,0,1216,1,0,199,182,0
21,26,936,2,1,425,400,1
1,0,779,1,0,438,397,0
23,0,1467,1,0,24,14,0
3,0,1220,1,0,5,0,1
3,25,684,11,8,425,309,1
40,10,635,8,5,377,257,0
28,2,989,1,0,40,35,1
13,15,926,2,1,41,36,0
22,6,1084,6,3,35,27,0
20,0,933,1,0,32,26,1
8,0,1462,1,0,42,37,0
35,11,1083,8,7,37,31,0
16,3,670,3,1,387,271,1
120,6,1491,6,4,22,12,0
17,0,924,1,0,41,36,0
4,1,1151,1,0,134,122,1
7,0,1273,1,0,33,22,1
18,3,1161,2,1,101,95,0
11,0,1210,1,0,6,0,0
2,0,1233,1,0,34,23,0
4,1,875,2,1,33,27,0
2,0,1398,1,0,29,19,1
40,0,1103,1,0,83,78,1
17,3,1172,3,2,105,98,1
6,0,1214,3,0,10,1,1
6,0,1214,4,1,11,2,1
23,7,1473,7,6,25,15,0
9,7,1287,1,0,32,22,1
38,0,1401,1,0,30,19,0
7,0,1213,2,0,9,0,0
43,18,640,10,9,379,259,1
15,7,615,6,5,373,252,1
11,14,1084,11,10,41,35,0
33,27,981,15,14,41,36,0
20,23,701,10,8,433,320,1
27,6,1085,5,3,34,27,0
4,2,846,2,1,74,65,0
4,2,846,3,1,75,65,0
30,24,1081,14,13,39,33,0
28,0,807,1,0,464,425,1
24,0,1471,1,0,21,10,0
8,18,906,3,2,31,25,1
17,12,971,4,3,414,392,1
90,12,1174,12,9,32,24,0
45,17,1247,13,11,237,214,0
22,0,1263,2,1,12,2,0
71,19,1171,13,11,33,25,0
37,0,1011,1,0,19,13,0
29,12,1282,10,9,31,22,1
21,0,1207,1,0,189,174,1
31,20,1169,14,13,281,258,1
8,0,1306,1,0,12,3,0
9,8,1471,2,1,20,10,0
28,32,611,12,11,357,253,1
45,9,1282,9,8,30,21,0
68,12,1179,11,9,31,24,0
15,0,749,1,0,448,416,0
15,9,1156,2,1,176,165,0
221,0,1528,1,0,5,0,1
280,0,1675,1,0,7,0,1
24,4,2177,1,0,2,0,0
